id,migas,non_migas,total,month
1,264868284,552324093,817192377,2007-01-31
2,228206006,385909677,614115683,2007-02-28
3,460485497,544789630,1005275127,2007-03-31
4,211369564,528141152,739510716,2007-04-30
5,325051345,624575417,949626762,2007-05-31
6,347250418,736053927,1083304345,2007-06-30
7,295308386,514392369,809700755,2007-07-31
8,350372547,749426806,1099799353,2007-08-31
9,420967264,674244356,1095211620,2007-09-30
10,369389286,570453993,939843279,2007-10-31
11,464538435,767883862,1232422297,2007-11-30
12,459179155,616513202,1075692357,2007-12-31
13,396617843,899585871,1296203714,2008-01-31
14,488213383,841739647,1329953030,2008-02-29
15,470237845,969322243,1439560088,2008-03-31
16,474600915,956666854,1431267769,2008-04-30
17,957249763,1026319078,1983568841,2008-05-31
18,686797971,1008603931,1695401902,2008-06-30
19,840738332,1083472374,1924210706,2008-07-31
20,776513829,1066626441,1843140270,2008-08-31
21,455690230,989627996,1445318226,2008-09-30
22,420090175,1119252611,1539342786,2008-10-31
23,153070673,928412311,1081482984,2008-11-30
24,102571618,734088446,836660064,2008-12-31
25,126863955,588787936,715651891,2009-01-31
26,188560100,506137224,694697324,2009-02-28
27,85283111,567610766,652893877,2009-03-31
28,90290529,663134210,753424739,2009-04-30
29,223906843,704082792,927989635,2009-05-31
30,260093607,764974861,1025068468,2009-06-30
31,136112547,274031109,410143656,2009-07-31
32,269040531,1327256828,1596297359,2009-08-31
33,338797098,944587847,1283384945,2009-09-30
34,153035723,1007560131,1160595854,2009-10-31
35,265063807,802968935,1068032742,2009-11-30
36,149721593,884076900,1033798493,2009-12-31
37,243796053,880264305,1124060358,2010-01-31
38,276758640,847837650,1124596290,2010-02-28
39,321308965,1006367061,1327676026,2010-03-31
40,238857142,952412971,1191270113,2010-04-30
41,248760594,874473325,1123233919,2010-05-31
42,309754111,1050325683,1360079794,2010-06-30
43,394739963,1288611295,1683351258,2010-07-31
44,290515266,1148778364,1439293630,2010-08-31
45,341155133,807933203,1149088336,2010-09-30
46,455412912,1197011925,1652424837,2010-10-31
47,294830673,1037973065,1332803738,2010-11-30
48,195286848,1281059735,1476346583,2010-12-31
49,472093201,1114507611,1586600812,2011-01-31
50,244589759,1071460077,1316049836,2011-02-28
51,455470567,1348731753,1804202320,2011-03-31
52,748258022,1385633338,2133891360,2011-04-30
53,655890382,1472596817,2128487199,2011-05-31
54,476045201,1397905393,1873950594,2011-06-30
55,588402378,1594149241,2182551619,2011-07-31
56,726528339,1389392193,2115920532,2011-08-31
57,673873738,1469962652,2143836390,2011-09-30
58,390002788,1536425771,1926428559,2011-10-31
59,506072511,1466820168,1972892679,2011-11-30
60,287709091,1531246101,1818955192,2011-12-31
61,651226549,1335461523,1986688072,2012-01-31
62,653497680,1473358812,2126856492,2012-02-29
63,380137109,1384463226,1764600335,2012-03-31
64,504263847,1447016540,1951280387,2012-04-30
65,398092462,1579422764,1977515226,2012-05-31
66,751743564,1448088887,2199832451,2012-06-30
67,484151111,1679175279,2163326390,2012-07-31
68,580891073,1264354307,1845245380,2012-08-31
69,553451515,1534028808,2087480323,2012-09-30
70,632497366,1669459172,2301956538,2012-10-31
71,536692224,1447861345,1984553569,2012-11-30
72,609397071,1478516075,2087913146,2012-12-31
73,506131213,1519921041,2026052254,2013-01-31
74,669077930,1403432861,2072510791,2013-02-28
75,419094430,1342779041,1761873471,2013-03-31
76,119142508,1613640253,1732782761,2013-04-30
77,535852976,1670244790,2206097766,2013-05-31
78,574524782,1520232259,2094757041,2013-06-30
79,595347045,1839152779,2434499824,2013-07-31
80,607818263,1132783293,1740601556,2013-08-31
81,586513975,1581074594,2167588569,2013-09-30
82,658794605,1645485806,2304280411,2013-10-31
83,840762642,1427306932,2268069574,2013-11-30
84,714583577,1522405234,2236988811,2013-12-31
85,588444125,1386707184,1975151309,2014-01-31
86,690661748,1524822415,2215484163,2014-02-28
87,545906052,1284880274,1830786326,2014-03-31
88,634839677,1341939166,1976778843,2014-04-30
89,775107804,1660528111,2435635915,2014-05-31
90,534241951,1481734666,2015976617,2014-06-30
91,537538463,1717170987,2254709450,2014-07-31
92,615630540,1349722671,1965353211,2014-08-31
93,531141694,1586170724,2117312418,2014-09-30
94,607965806,1585974879,2193940685,2014-10-31
95,575355109,1680671972,2256027081,2014-11-30
96,665094746,1308706021,1973800767,2014-12-31
97,391911367,1411755708,1803667075,2015-01-31
98,233021023,1359196132,1592217155,2015-02-28
99,301746822,1406853802,1708600624,2015-03-31
100,403318919,1357374899,1760693818,2015-04-30
101,340414383,1428180621,1768595004,2015-05-31
102,377092879,1419489067,1796581946,2015-06-30
103,280776846,841858719,1122635565,2015-07-31
104,301776939,1456298541,1758075480,2015-08-31
105,276224004,1258694626,1534918630,2015-09-30
106,284990805,1131850078,1416840883,2015-10-31
